NAME,GLOTTOCODE,ISO,DIALECT
'Are'are (1),area1240,alu,Ma'asupa village
'Are'are (2),area1240,alu,Waiahaa village
Agufi,aguf1237,,
Alu,aluu1243,,
Anuta,anut1237,aud,
Arosi (1),aros1241,aia,Oneibia village
Arosi (2),aros1241,aia,Tawatana village
Asumboa,asum1237,aua,
Avasö,avas1237,,
Bauro (1),baur1252,bxa,Pawa village
Bauro (2),baur1252,bxa,Baroo village
Bellona,renn1242,mnv,
Blablanga,blab1237,blp,
Buma,tean1237,tkw,
Dhadhaje,bugh1239,bgt,
Dori'o,dori1246,dor,
Faghani,faga1239,faf,
Fataleka,fata1245,far,
Fauro,faur1237,,
Ghaimuta,ghai1237,,
Ghanongga,ghan1242,ghn,
Ghari,ghar1239,gri,
Ghone,ghon1237,,
Ghove,blab1237,blp,
Haununu,haun1237,,
Hoava,hoav1238,hoa,
Kahua,kahu1241,agw,
Katazi,kata1267,,
Kazukuru,kazu1245,kzk,
Kia,zaba1237,kji,
Kilokaka,zaza1245,jaj,
Kmagha,mari1427,,
Kokota,koko1269,kkk,
Koo,kooo1245,,
Kusaghe,kusa1251,ksg,
Kwai,gula1270,gmb,
Kwaio,kwai1243,kwd,
Kwara'ae,kwar1239,kwf,
Langalanga,wala1266,lgl,
Lau North,lauu1247,llu,
Lavukaleve,lavu1241,lvk,
Leleghia,chek1238,mrn,
Lengo,leng1259,lgr,
Lokuru,touo1238,tqu,
Longgu,long1395,lgu,
Lungga,lung1249,lga,
Lwepe,natu1246,ntu,
Lömaumbi,loma1262,,
Malagheti,mala1483,,
Malango,mala1484,mln,
Malo,natu1246,ntu,
Mami,kahu1241,agw,
Marau,mara1398,,
Marovo,maro1244,mvo,
Mbaelelea,bael1237,bvc,
Mbaengguu,baeg1237,bvd,
Mbambatana,baba1268,baa,
Mbaniata,touo1238,tqu,
Mbareke,bare1273,,
Mbilua,bilu1245,blb,
Mbirao,bira1254,brr,
Moli,moli1247,,
Mono,mono1273,mte,
Nanggu,nang1262,ngr,
Ndi,ndii1241,,
Ndovele,bilu1245,bib,
Nduke,duke1237,nke,
Nembao,amba1266,utp,
Nggae,gaee1238,,
Nggela,gela1263,nlg,
Nggeri,geri1237,,
Nginia,ngin1246,,
Ontong Java,onto1237,ojv,
Oroha,oroh1237,ora,
Paripao,pari1257,,
Pileni,pile1238,piv,
Poleo,pole1240,,
Poro,gaoo1237,gga,
Rawo,rawo1242,,
Reefs,natu1246,ntu,
Rennell,renn1242,mnv,
Rihu'a,rihu1237,,
Ririo,riri1237,rri,
Roviana,rovi1238,rug,
Sa'a (1),saaa1240,apb,Sa'a village
Sa'a (2),saaa1240,apb,A'ulu village
Samasodu,lagh1246,lgb,
Santa Ana,sant1414,,
Santa Catalina,sant1413,,
Savosavo,savo1255,svs,
Sengga,sisi1250,,
Sikaiana,sika1261,sky,
Simbo,simb1256,sbb,
Talise,tali1259,tlr,
Tandai,tand1254,,
Tanema,tane1237,tnx,
Tanimbili,tani1255,tbe,
Tataba,chek1238,mrn,
Tawaroga,kahu1241,agw,
Tikopia,tiko1237,tkp,
To'ambaita,toab1237,mlu,
Tolo,tolo1254,,
Tunöe,baba1268,baa,
Ughele,ughe1237,uge,
Uki Ni Masi,ukin1237,,
Ulawa,ulaw1237,,
Vaghua,vagh1249,tva,
Vangunu,vang1243,mpr,
Vano,vano1237,vnk,
Varisi,vari1239,vrs,
Walade (LauS),lauu1247,llu,
