Grapheme	IPA
ŋg	ⁿg
mb	ⁿb
nd	ⁿd
ƀ	ɒ̃
-$	NULL
^-	NULL
^"	NULL
!	ʔ
$	NULL
(	NULL
)	NULL
*	NULL
-	+
.	NULL
1	NULL
2	NULL
3	NULL
H	h
I	i
K	k
M	m
P	p
Q	ŋ
W	NULL
[	NULL
]	NULL
^	NULL
a	a
ã	ã
ā	aː
b	b
c	c
č	tʃ
d	d
e	e
ē	eː
ẹ	ẹ/e
f	f
g	g
h	h
i	i
î	î/i
ī	iː
ị	ị/i
j	j
ĵ	dʒ
k	k
kh	kʰ
l	l
m	m
n	n
ñ	ñ
o	o
ō	oː
p	p
ph	pʰ
r	r
s	s
t	t
th	tʰ
u	u
ũ	ũ
ū	uː
ü	y
ụ	u
v	v
w	w
x	x
y	j
z	z
ž	ʒ
·	NULL
_.$	NULL
-_	+
_-$	NULL
_	+
_$	NULL
__.$	NULL
^-n_$	n
æ	æ
ð	ð
ö	ø
ø	ø
ŋ	ŋ
ņ	ŋ
œ	œ
ɑ	ɑ
ɒ	ɒ
ɔ	ɔ
ɔ̄	ɔː
ə	ə
ɚ	ɚ
ɛ	ɛ
ɛ̄	ɛː
ɜ	ɜ
ɣ	ɣ
ɨ	ɨ
ɳ	ɲ
ʌ	ʌ
ʌ̃	ʌ̃
Δ	ʌː
α	œ
γ	ɣ
η	ɲ
θ	θ
ϑ	θ
Д	d
д	ʌ̃
Ө	θ
ạ	a
ẽ	ẽ
–	+
	æ̃
	NULL
	aː
	ɛː
	NULL
	m̩
	NULL
	NULL
	NULL
	ɔː
	r̥
	ə̥
	NULL
	NULL
	æː
